y	x1	x2	error
0.666025468	0.883752945	-0.23249411	0.014766633
0.924147853	0.93845774	-0.12308452	0.108774633
0.865082705	0.91287162	-0.17425676	0.126467845
0.683383035	0.93340674	-0.13318652	-0.116837185
0.772156806	0.913741235	-0.17251753	0.030933101
0.565634228	0.90982595	-0.1803481	-0.163843622
0.943363589	0.923957655	-0.15208469	0.171490624
0.809146275	0.91606342	-0.16787316	0.060956015
0.630638468	0.901233565	-0.19753287	-0.073062227
0.56618795	0.86658555	-0.2668289	-0.0335687
0.690817228	0.894540535	-0.21091893	0.007195623
0.606651857	0.857801655	-0.28439669	0.033246892
0.631028985	0.870540965	-0.25891807	0.01940609
0.565572015	0.849374805	-0.30125039	0.0174476
0.689323746	0.858176585	-0.28364683	0.114793991
0.735492884	0.861469425	-0.27706115	0.151084609
0.475319875	0.835958285	-0.32808343	-0.03255498
0.542224855	0.836003805	-0.32799239	0.03421344
0.746034451	0.82633855	-0.3473229	0.267018801
0.590649822	0.85304127	-0.29391746	0.031526012
0.440947202	0.79456476	-0.41087048	0.057252922
0.447742847	0.82759829	-0.34480342	-0.035052023
0.651518558	0.824630515	-0.35073897	0.177627013
0.284269621	0.81782845	-0.3643431	-0.169215729
0.420400844	0.797910885	-0.40417823	0.026668189
-0.032049384	0.779858675	-0.44028265	-0.371625409
0.371157771	0.79973915	-0.4005217	-0.028059679
0.408872548	0.797425225	-0.40514955	0.016596873
0.243817289	0.822680145	-0.35463971	-0.224223146
0.240571763	0.77219746	-0.45560508	-0.076020617
0.428870091	0.794943355	-0.41011329	0.044040026
0.098327049	0.76967298	-0.46065404	-0.210691891
0.344827651	0.77845471	-0.44309058	0.009463521
0.42416376	0.793137705	-0.41372459	0.044750645
0.261944018	0.75703265	-0.4859347	-0.009153932
0.301440138	0.783633685	-0.43273263	-0.049460917
0.143519783	0.76196572	-0.47606856	-0.142377377
0.002409837	0.752834585	-0.49433083	-0.256093918
0.110921437	0.74422292	-0.51155416	-0.121747323
0.252221817	0.72253747	-0.55492506	0.084609407
0.202716706	0.726958455	-0.54608309	0.021841341
0.350641421	0.73716588	-0.52566824	0.139143781
0.162566875	0.737667365	-0.52466527	-0.05043522
-0.070611058	0.756494525	-0.48701095	-0.340094633
0.132249664	0.73449946	-0.53100108	-0.071248716
0.345548531	0.731047235	-0.53790553	0.152406826
0.120397085	0.700676175	-0.59864765	0.01836856
0.020326707	0.71954999	-0.56090002	-0.138323263
-0.024202451	0.690760415	-0.61847917	-0.096483696
0.187091474	0.717672785	-0.56465443	0.034073119
0.329431741	0.734374195	-0.53125161	0.126309156
-0.080776477	0.695628735	-0.60874253	-0.167662682
0.068725417	0.69253693	-0.61492614	-0.008885373
4.0813E-05	0.675981185	-0.64803763	-0.027902742
0.150393397	0.680100565	-0.63979887	0.110091702
-0.182257739	0.67689467	-0.64621066	-0.212941749
0.086737918	0.691631345	-0.61673731	0.011843883
0.153479485	0.68795189	-0.62409622	0.089623815
-0.080888968	0.670793795	-0.65841241	-0.093270353
0.111817148	0.67987976	-0.64024048	0.072177868
0.219218581	0.659512195	-0.68097561	0.240681996
-0.03472855	0.66162782	-0.67674436	-0.01961201
-0.155402817	0.66342906	-0.67314188	-0.145689997
0.158347125	0.63766634	-0.72466732	0.245348105
-0.215928782	0.64030333	-0.71939334	-0.136838772
-0.139638543	0.643454225	-0.71309155	-0.070001218
-0.097668568	0.617271875	-0.76545625	0.050515807
-0.26839383	0.620730665	-0.75853867	-0.130585825
0.310343429	0.645155475	-0.70968905	0.374877004
-0.078016306	0.61822013	-0.76355974	0.067323304
-0.43166813	0.633191655	-0.73361669	-0.331243095
-0.187689713	0.652126425	-0.69574715	-0.144068988
-0.318147807	0.61879611	-0.76240778	-0.174536137
-0.106490192	0.63698215	-0.7260357	-0.017436642
-0.005052439	0.62089597	-0.75820806	0.132259651
0.20699213	0.61867291	-0.76265418	0.3509734
-0.382312696	0.60880404	-0.78239192	-0.208724816
-0.75717197	0.607571945	-0.78485611	-0.579887805
-0.248888635	0.586225785	-0.82754843	-0.00756599
-0.493128079	0.589175855	-0.82164829	-0.260655644
-0.11672266	0.60087606	-0.79824788	0.08064916
0.202417972	0.60187133	-0.79625734	0.396803982
-0.562126297	0.5590574	-0.8818852	-0.239298497
0.305898949	0.58685157	-0.82629686	0.545344239
-0.21518374	0.59683052	-0.80633896	-0.0056753
-0.143972364	0.60098779	-0.79802442	0.053064266
-0.631368254	0.580804075	-0.83839185	-0.373780479
0.056162176	0.58670547	-0.82658906	0.296045766
-0.376495307	0.56631692	-0.86736616	-0.075446067
-0.305705537	0.57862172	-0.84275656	-0.041570697
-0.544962813	0.56331242	-0.87337516	-0.234900073
-0.56347202	0.54898632	-0.90202736	-0.21043098
-0.307427477	0.56885686	-0.86228628	-0.013998057
-0.419140221	0.56484159	-0.87031682	-0.113664991
-0.526756142	0.57389323	-0.85221354	-0.248435832
-0.642121384	0.5683538	-0.8632924	-0.347182784
-0.100743434	0.5507577	-0.8984846	0.246983466
-0.204692462	0.555954605	-0.88809079	0.127443723
-0.412058536	0.55262775	-0.8947445	-0.069941786
-0.53669636	0.55185918	-0.89628164	-0.1922739
-0.275619153	0.553546795	-0.89290641	0.063740462
-0.435987214	0.55181721	-0.89636558	-0.091438844
-0.366169023	0.549744875	-0.90051025	-0.015403648
-0.364037796	0.543861825	-0.91227635	0.004376729
-0.276265198	0.52430137	-0.95139726	0.150830692
-0.090544958	0.54792368	-0.90415264	0.265684002
-0.356569245	0.524079895	-0.95184021	0.07119107
-0.616645364	0.51253711	-0.97492578	-0.154256694
-0.610852996	0.51749453	-0.96501094	-0.163336586
-0.356733679	0.529039015	-0.94192197	0.056149276
-0.630723775	0.51103615	-0.9779277	-0.163832225
-0.711761949	0.541949395	-0.91610121	-0.337610134
-0.198129631	0.53703513	-0.92592974	0.190764979
-0.496568758	0.536008105	-0.92798379	-0.104593073
-0.350606517	0.525519715	-0.94896057	0.072834338
-0.600725831	0.505436055	-0.98912789	-0.117033996
-0.378807886	0.51204982	-0.97590036	0.085042654
-0.605081261	0.52049748	-0.95900504	-0.166573701
-0.427086759	0.50510386	-0.98979228	0.057601661
-0.872676979	0.50885826	-0.98228348	-0.399251759
-0.128334757	0.517820235	-0.96435953	0.318204538
-0.408182367	0.528681695	-0.94263661	0.005772548
-0.756940214	0.513955665	-0.97208867	-0.298807209
-0.557263262	0.51849608	-0.96300784	-0.112751502
-0.646316534	0.49418612	-1.01162776	-0.128874894
-0.587880485	0.497817135	-1.00436573	-0.08133189
-0.36277616	0.50629833	-0.98740334	0.11832885
-0.693484104	0.474016005	-1.05196799	-0.115532119
-0.951233629	0.49002792	-1.01994416	-0.421317389
-0.720789897	0.50002139	-0.99995722	-0.220854067
-0.771021317	0.51334372	-0.97331256	-0.311052477
-0.458374275	0.51315345	-0.9736931	0.002165375
-0.400798282	0.4791939	-1.0416122	0.161620018
-0.177678551	0.50162679	-0.99674642	0.317441079
-0.243792402	0.516403155	-0.96719369	0.206998133
-0.565805728	0.49908474	-1.00183052	-0.063059948
-0.391482476	0.4904149	-1.0191702	0.137272824
-0.313363558	0.479413095	-1.04117381	0.248397157
-0.576839901	0.51043606	-0.97912788	-0.108148081
-0.622150423	0.49669676	-1.00660648	-0.112240703
-1.014919629	0.48171897	-1.03656206	-0.460076539
-0.331239723	0.518265625	-0.96346875	0.113963402
-0.512206336	0.51085865	-0.9782827	-0.044782286
-0.644367736	0.52550174	-0.94899652	-0.220872956
-0.580030176	0.494522175	-1.01095565	-0.063596701
-0.79125941	0.48505244	-1.02989512	-0.24641673
-0.617900909	0.50389263	-0.99221474	-0.129578799
-1.11695403	0.48857375	-1.0228525	-0.58267528
-0.044027704	0.490827925	-1.01834415	0.483488521
-0.792631938	0.48537272	-1.02925456	-0.248750098
-0.605361207	0.497041735	-1.00591653	-0.096486412
-0.495538647	0.505717045	-0.98856591	-0.012689782
-0.629090961	0.505875225	-0.98824955	-0.146716636
-0.259130288	0.50342482	-0.99315036	0.230595252
-0.682840649	0.52458582	-0.95082836	-0.256598109
-0.529877153	0.48382376	-1.03235248	0.018651567
-0.422481152	0.51997797	-0.96004406	0.017584938
-0.248792561	0.4995165	-1.000967	0.252657939
-0.386654768	0.541324515	-0.91735097	-0.010628313
-0.652149931	0.498187245	-1.00362551	-0.146711666
-0.774937875	0.50516894	-0.98966212	-0.290444695
-0.460878965	0.53422375	-0.9315525	-0.063550215
-0.688085275	0.4960918	-1.0078164	-0.176360675
-0.643360036	0.52548838	-0.94902324	-0.219825176
-0.436019987	0.52154989	-0.95690022	-0.000669657
-0.374463893	0.5098298	-0.9803404	0.096046707
-0.191022912	0.495174715	-1.00965057	0.323452943
-0.22995663	0.517191975	-0.96561605	0.218467445
-0.540148419	0.505112925	-0.98977415	-0.055487194
-0.00016739	0.54235133	-0.91529734	0.37277862
-0.913483226	0.50036867	-0.99926266	-0.414589236
-0.773326031	0.51480613	-0.97038774	-0.317744421
-0.332846036	0.53960346	-0.92079308	0.048343584
-0.041561884	0.54118614	-0.91762772	0.334879696
-0.626023479	0.54956869	-0.90086262	-0.274729549
-0.743975639	0.53463007	-0.93073986	-0.347865849
-0.562740914	0.51184346	-0.97631308	-0.098271294
-0.490195646	0.53819771	-0.92360458	-0.104788776
-0.446311717	0.5018844	-0.9962312	0.048035083
0.020746775	0.555974285	-0.88805143	0.35282392
-0.13048157	0.52257762	-0.95484476	0.30178557
-0.373299254	0.519979235	-0.96004153	0.066763041
-0.640398125	0.532557525	-0.93488495	-0.2380707
-0.220923935	0.531327725	-0.93734455	0.18509289
-0.632184088	0.53459227	-0.93081546	-0.235960898
-0.621827206	0.558022015	-0.88395597	-0.295893251
-0.427780587	0.55596486	-0.88807028	-0.095675167
-0.016827982	0.59642707	-0.80714586	0.193890808
-0.871246656	0.566729185	-0.86654163	-0.571434211
-0.142283732	0.550048385	-0.89990323	0.207571113
-0.746780098	0.55872036	-0.88255928	-0.422941178
0.084611442	0.567239995	-0.86552001	0.382891457
-0.250650068	0.55041566	-0.89916868	0.098102952
-0.528708425	0.568584885	-0.86283023	-0.23446308
-0.249114578	0.587224545	-0.82555091	-0.010788213
-0.1736942	0.564212655	-0.87157469	0.133667835
0.049434765	0.58191866	-0.83616268	0.303678785
-0.124710369	0.561877845	-0.87624431	0.189656096
-0.141264042	0.58238645	-0.8352271	0.111576608
-0.117682175	0.567055375	-0.86588925	0.1811517
-0.450025377	0.57689554	-0.84620892	-0.180711997
-0.088504979	0.549901255	-0.90019749	0.261791256
-0.632205015	0.58079592	-0.83840816	-0.374592775
-0.073190995	0.601690885	-0.79661823	0.12173635
-0.651929572	0.615233905	-0.76953219	-0.497631287
-0.554340155	0.619187835	-0.76162433	-0.41190366
0.021637167	0.59671322	-0.80657356	0.231497507
0.028979046	0.57686739	-0.84626522	0.298376876
-0.148240328	0.590552225	-0.81889555	0.080102997
-0.729436314	0.604364745	-0.79127051	-0.542530549
0.077509739	0.62281148	-0.75437704	0.209075299
-0.325770925	0.60881792	-0.78236416	-0.152224685
-0.024320286	0.618725485	-0.76254903	0.119503259
-0.197246099	0.611320755	-0.77735849	-0.031208364
-0.668371579	0.60559492	-0.78881016	-0.485156339
0.403949556	0.650944185	-0.69811163	0.451117001
0.512218214	0.65250463	-0.69499074	0.554704324
-0.562707739	0.595585525	-0.80882895	-0.349464314
0.123424584	0.635174395	-0.72965121	0.217901399
-0.447614361	0.63810684	-0.72378632	-0.361934881
0.090626341	0.6349273	-0.7301454	0.185844441
-0.293380519	0.65560875	-0.6887825	-0.260206769
-0.107590408	0.65184631	-0.69630738	-0.063129338
0.032612258	0.68404459	-0.63191082	-0.019521512
0.04012982	0.650546595	-0.69890681	0.088490035
-0.257993922	0.671740335	-0.65651933	-0.273214927
0.053434687	0.675435645	-0.64912871	0.027127752
-0.151071481	0.68510758	-0.62978484	-0.206394221
-0.409732415	0.657949965	-0.68410007	-0.38358231
-0.367530838	0.679633545	-0.64073291	-0.406431473
0.048715696	0.69641181	-0.60717638	-0.040519734
-0.007196256	0.705040735	-0.58991853	-0.122318461
0.208488799	0.694688415	-0.61062317	0.124423554
-0.254763226	0.70163512	-0.59672976	-0.359668586
-0.028422069	0.68126549	-0.63746902	-0.072218539
-0.354676717	0.718807765	-0.56238447	-0.511100012
0.544241864	0.71297997	-0.57404006	0.405301954
0.1432853	0.69865726	-0.60268548	0.04731352
-0.262952768	0.716701015	-0.56659797	-0.413055813
0.151171286	0.732800015	-0.53439997	-0.047228759
-0.230356459	0.723822435	-0.55235513	-0.401823764
0.492075198	0.72072787	-0.55854426	0.329891588
0.050730293	0.710511495	-0.57897701	-0.080804192
0.279043122	0.713097635	-0.57380473	0.139750217
-0.037653521	0.74247221	-0.51505558	-0.265070151
0.149801991	0.74584041	-0.50831918	-0.087719239
0.220086088	0.73332995	-0.5333401	0.020096238
0.383894009	0.714809315	-0.57038137	0.239466064
0.414762763	0.754611705	-0.49077659	0.150927648
0.382984383	0.763937065	-0.47212587	0.091173188
0.136156883	0.77235361	-0.45529278	-0.180903947
-0.281059057	0.72839508	-0.54320984	-0.466244297
-0.205727336	0.781437245	-0.43712551	-0.550039071
0.48803342	0.776659365	-0.44668127	0.158055325
0.36582218	0.78609058	-0.42781884	0.00755044
0.371415266	0.784885715	-0.43022857	0.016758121
0.767585002	0.77052757	-0.45894486	0.456002292
0.4851064	0.78760333	-0.42479334	0.12229641
0.986176814	0.792051515	-0.41589697	0.610022269
-0.274008691	0.793306505	-0.41338699	-0.653928206
1.218327921	0.814162075	-0.37167585	0.775841696
0.202114597	0.80172431	-0.39655138	-0.203058333
0.144075053	0.79392411	-0.41215178	-0.237697277
0.526995286	0.808314595	-0.38337081	0.102051501
0.194544751	0.841626515	-0.31674697	-0.330334794
0.264867965	0.828355585	-0.34328883	-0.22019879
0.519806194	0.820792535	-0.35841493	0.057428589
0.566845556	0.839239575	-0.32152085	0.049126831
0.66670892	0.85173803	-0.29652394	0.11149483
0.219570919	0.846746715	-0.30650657	-0.320669226
0.566855379	0.838384565	-0.32323087	0.051701684
0.170382599	0.867154435	-0.26569113	-0.431080706
1.065016031	0.8740084	-0.2519832	0.442990831
0.22135649	0.88147409	-0.23705182	-0.42306578
